execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,covered_goals,covered_goals_evolution
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1583,"[5.75,1][5.333333333333333,4][5.0,8][1.3333333333333333,10]",12/28,"[0/28,1][10/28,2][11/28,7][12/28,21]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1397,"[5.75,1][5.333333333333333,4][1.3333333333333333,25]",12/28,"[2/28,1][7/28,2][9/28,3][11/28,4][12/28,6]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1435,"[5.75,1][5.0,4][1.3333333333333333,8]",12/28,"[0/28,1][5/28,2][9/28,3][10/28,4][11/28,12][12/28,59]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1293,"[5.75,1][5.333333333333333,2][1.3333333333333333,4]",12/28,"[0/28,1][2/28,2][9/28,3][11/28,4][12/28,6]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1186,"[5.4,1][5.333333333333333,2][5.0,3][1.3333333333333333,4]",12/28,"[7/28,1][9/28,2][10/28,3][11/28,18][12/28,35]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1505,"[5.75,1][5.333333333333333,3][1.3333333333333333,89]",12/28,"[2/28,1][9/28,2][11/28,4][12/28,5]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1325,"[5.75,1][1.3333333333333333,4]",12/28,"[2/28,1][9/28,3][11/28,4][12/28,7]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1425,"[5.75,1][5.333333333333333,3][5.0,4][1.3333333333333333,8]",12/28,"[2/28,1][10/28,2][12/28,9]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1530,"[5.75,1][5.333333333333333,3][5.0,147][1.3333333333333333,156]",12/28,"[5/28,1][9/28,2][10/28,4][11/28,7][12/28,34]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1634,"[5.75,1][5.333333333333333,2][5.0,34][1.3333333333333333,37]",12/28,"[7/28,1][10/28,2][12/28,10]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1744,"[5.75,1][5.333333333333333,2][1.3333333333333333,3]",12/28,"[0/28,1][4/28,2][9/28,3][10/28,6][11/28,18][12/28,23]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1499,"[5.333333333333333,1][5.0,5][1.3333333333333333,7]",12/28,"[2/28,1][10/28,2][11/28,12][12/28,30]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1460,"[5.75,1][5.333333333333333,2][1.3333333333333333,96]",12/28,"[6/28,1][12/28,2]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1316,"[5.75,1][5.333333333333333,2][1.3333333333333333,234]",12/28,"[0/28,1][5/28,2][9/28,3][10/28,7][12/28,32]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1087,"[5.75,1][5.333333333333333,4][5.0,5][1.3333333333333333,7]",12/28,"[2/28,1][9/28,2][11/28,3][12/28,4]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1221,"[5.75,1][5.333333333333333,2][5.0,76][1.3333333333333333,82]",12/28,"[0/28,1][10/28,2][11/28,72][12/28,85]"
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1250,"[5.333333333333333,1][1.3333333333333333,253]",12/28,"[5/28,1][9/28,2][10/28,3][12/28,11]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1184,"[5.75,1][5.666666666666666,5][5.333333333333333,6][1.3333333333333333,42]",12/28,"[2/28,1][8/28,2][10/28,3][12/28,6]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1018,"[5.75,1][5.333333333333333,2][1.3333333333333333,221]",12/28,"[2/28,1][8/28,3][9/28,5][10/28,8][11/28,39][12/28,70]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1048,"[5.333333333333333,1][1.3333333333333333,3]",12/28,"[0/28,1][10/28,2][12/28,5]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1149,"[5.333333333333333,1][1.3333333333333333,140]",12/28,"[0/28,1][8/28,2][9/28,3][10/28,5][11/28,152][12/28,167]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1028,"[5.75,1][1.3333333333333333,2]",12/28,"[2/28,1][7/28,2][9/28,3][10/28,4][11/28,37][12/28,62]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1023,"[5.333333333333333,1][1.3333333333333333,151]",12/28,"[2/28,1][9/28,2][11/28,3][12/28,4]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,1094,"[5.75,1][5.333333333333333,4][5.0,177][1.3333333333333333,182]",12/28,"[0/28,1][6/28,2][9/28,3][11/28,4][12/28,7]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,6,62328,1.3333333333333300,967,"[5.75,1][5.333333333333333,2][5.0,5][1.3333333333333333,10]",12/28,"[0/28,1][6/28,2][10/28,3][11/28,14][12/28,91]"
